ID,Name,Description,ColumnSpec,Semantic_Field,Ontological_Category,Replacement_ID
1854,SPARROW,"A small song bird, in the family Passeridae.",,Animals,Person/Thing,
1855,BIRCH,"A tree of the genus Betula, with small leaves and a trunk that is white with darker blotches.",,Agriculture and vegetation,Person/Thing,
1856,SOFT,"A state of consistency allowing alterations of form with ease, no big force required, to bring things into something of this state (such as e.g. soaked loam or clay soil).",,Sense perception,Property,
1857,CROCODILE,"Any large tropical reptile of the family Crocodylidae: order Crocodylia. They have a broad head, tapering snout, massive jaws, and a thick outer covering of bony plates. (Source: CED)",,Animals,Person/Thing,
1858,FISHERMAN,A person whose profession is catching fish.,,Warfare and hunting,Person/Thing,
1859,THIRD,The ordinal form of the cardinal number three.,,Quantity,Other,
1860,BEAD,"A hard, rounded object produced within the soft tissue (specifically the mantle) of a living shelled mollusk.",,Clothing and grooming,Person/Thing,
1861,ACTIVE,Characterized by energetic activity.,,The physical world,Property,
1862,DONKEY,"A domesticated animal, Equus asinus.",,Animals,Person/Thing,
1863,AMAZING,Causing great surprise or sudden wonder.,,Emotions and values,Property,
1864,HUNGER,A need of food.,,Food and drink,Person/Thing,
1865,BUZZARD,Diurnal bird of prey belonging to the Accipitridae family.,,Animals,Person/Thing,
1866,STUTTER,"To have problems articulating the words, repeting sometimes some syllables.",,Speech and language,Action/Process,
1867,COIN,"A piece of currency, usually metallic and in the shape of a disc, but sometimes polygonal, or with a hole in the middle.",,Possession,Person/Thing,
1868,VISIBLE,That one can see.,,Sense perception,Property,
1869,BUY,To obtain in exchange for money or goods.,,Possession,Action/Process,
1870,ANCHOR,"Something, usually a heavy piece of metal with points which dig into the sea-bed, used to hold a boat in one position.",,Motion,Person/Thing,
1871,CAMEL,"A beast of burden, much used in desert areas, of the genus Camelus.",,Animals,Person/Thing,
1872,DUIKER,"Any of several ruminants of the family Bovidae, chiefly of Africa and Asia, having permanent, hollow, unbranched horns.",,Animals,Person/Thing,
1873,ANTHILL,A mound of earth made by ants as they dig their nest.,,Animals,Person/Thing,
1874,SAUSAGE,"A length of intestine, stuffed with ground (organ) meat, and other ingredients. Instead of intestines, a different kind of wrapper can be used.",,Food and drink,Person/Thing,
1875,REGRET,To wish that a past event had not happened.,,Emotions and values,Action/Process,
1876,REINDEER,"An Arctic and Subarctic-dwelling deer (Rangifer tarandus), a number of subspecies exist.",,Animals,Person/Thing,
1877,EAST,"One of the four principal compass points, specifically 90°, conventionally directed to the right on maps. The direction of the rising sun.",,Spatial relations,Person/Thing,
1878,COCK,"The part of a firearm that hits the back of the bullet and sets it off, firing the gun.",,Warfare and hunting,Person/Thing,
1879,DANCE,"To move with rhythmic steps or movements, especially in time to music.",,Motion,Action/Process,
1880,PASSIONATE,Characterized by intense emotion.,,Emotions and values,Property,
1881,ENOUGH,"All that is required, needed, or appropriate.",,Quantity,Other,
1882,BEFORE,At a time before that.,,Time,Other,
1883,IN FRONT OF,In front of in space,,Spatial relations,Other,
1884,HARD,Resistant to pressure.,,Sense perception,Property,
1885,ARMADILLO,(Family Dasypodidae) Burrowing chiefly nocturnal mammal with body covered with strong horny plates.,,Animals,Person/Thing,
1886,ARMPIT,The hollow under the upper part of the arm at the shoulder.,,The body,Person/Thing,
1887,CHEAP,Low in price.,,Possession,Property,
1888,PAIR,Two similar or identical things taken together.,,Quantity,Person/Thing,
1889,ARSON,The crime of setting fire to a building or a property on purpose.,,Law,Person/Thing,
1890,BELIEVE,To be confident about something.,,Cognition,Action/Process,
1891,PUMA,Species of feline (Puma concolor) tawny-colored with black-tipped ears and tail.,,Animals,Person/Thing,
1892,TOUCH,To be in physical contact with.,,Sense perception,Action/Process,
1893,QUAIL,(Coturnix coturnix) Small (17 cm) rotund bird from the pheasant family (Phasianidae),,Animals,Person/Thing,
1894,ASHAMED,Feeling shame or guilt.,,Emotions and values,Property,
1895,CLOTHES,All coverings designed to be worn on a person's body.,,Clothing and grooming,Person/Thing,
1896,FINGERNAIL OR TOENAIL,Hard keratin part growing at the end of a human's finger or toe.,,The body,Person/Thing,
1897,HELP,To give assistance or aid to.,,Social and political relations,Action/Process,
1898,SPECTACLES,A pair of lenses in a frame that are worn in front of the eyes and are used to correct faulty vision or protect the eyes.,,Modern world,Person/Thing,
1899,MAD,Mentally ill.,,Cognition,Property,
1900,ASTONISHED,Filled with the emotional impact of overwhelming surprise or shock.,,Emotions and values,Property,1572
1901,SHOVEL,"A tool consisting of a stick (usually out of wood) and a bigger, slightly humped surface (usually out of metal), which is used to move material such as earth, snow, grain, etc. from one place to another.",,Agriculture and vegetation,Person/Thing,
1902,BETRAY,To harm someone or hurt their feelings by violating their trust or being disloyal to them.,,Cognition,Action/Process,
1903,SWELLING,Abnormal protuberance or localized enlargement.,,The body,Person/Thing,
1904,DROWN,To be suffocated in water or other fluid; to perish by suffocation in water.,,The body,Action/Process,
1905,EAGLE,"Any of several large carnivorous birds in the family Accipitridae, having a powerful hooked bill and keen vision.",,Animals,Person/Thing,
1906,SOUR,"Having an acid, sharp or tangy taste.",,Sense perception,Property,
1907,MOLE,"Small insectivorous mammal, especially of the family Talpidae, living chiefly underground, and having velvety fur, very small eyes, and strong forefeet.",,Animals,Person/Thing,
1908,ATTENTIVE,Giving attention.,,Cognition,Property,
1909,SHAKE,To cause (something) to move rapidly from side to side.,,Motion,Action/Process,
1910,STINGRAY,"Any of various large, venomous rays, of the orders Rajiformes and Myliobatiformes, having a barbed, whiplike tail.",,Animals,Person/Thing,
1911,DRAW (WATER),"To draw by a physical force causing or tending to cause to approach, adhere, or unite.",,Basic actions and technology,Action/Process,
1912,RESPECT (NOUN),An attitude of admiration or esteem.,,Emotions and values,Person/Thing,
1913,PRESS,To apply pressure to an item.,,Basic actions and technology,Action/Process,
1914,DEBT,Something owed to someone else.,,Possession,Person/Thing,
1915,FIR,An evergreen coniferous tree of the genus Abies.,,Agriculture and vegetation,Person/Thing,
1916,GILL,The breathing organ of fish and other aquatic animals.,,Animals,Person/Thing,
1917,TIE,To establish connection between two or more things.,,Basic actions and technology,Action/Process,
1918,MANE,The long hair in the neck of horses and lions.,,The body,Person/Thing,
1919,TORCH,A stick with a flame on one end used as a light source.,,The house,Person/Thing,
1920,DREAM (SOMETHING),To experience while sleeping.,,The body,Action/Process,
1921,PLOUGH,To use a plough on to prepare for planting.,,Agriculture and vegetation,Action/Process,
1922,LAND (DESCEND),"To descend to a surface, especially from the air.",,Motion,Action/Process,
1923,ROUGH,Having a texture that has much friction. Not smooth.,,Sense perception,Property,
1924,VEIN,A blood vessel that transports blood from the capillaries back to the heart.,,The body,Person/Thing,
1925,ARTERY,A blood vessel transporting blood away from the heart.,,The body,Person/Thing,
1926,OINTMENT,A semisolid preparation intended for external application to the skin or mucous membranes. (source: UMLS),,Clothing and grooming,Person/Thing,
1927,BAMBOO,"A group of woody perennial evergreen plants in the true grass family Poaceae, subfamily Bambusoideae, tribe Bambuseae.",,Agriculture and vegetation,Person/Thing,
1928,CEASE,"To have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical.",,Time,Action/Process,
1929,STUDY,To follow a course of study; to be enrolled at an institute of learning.,,Cognition,Action/Process,
1930,RAVINE,A deep narrow valley or gorge in the earth's surface worn by running water.,,The physical world,Person/Thing,
1931,BEESWAX,A yellowish or dark brown wax secreted by honeybees for constructing honeycombs.,,Animals,Person/Thing,
1932,GUESS,"To suppose, to estimate or to make a surmise.",,Cognition,Action/Process,
1933,LOOSEN,To make undone or untied ; to free from any fastening.,,Basic actions and technology,Action/Process,
1934,BEGGAR,A person who begs.,,Possession,Person/Thing,
1935,ANUS,"The lower opening of the digestive tract, through which faeces pass.",,The body,Person/Thing,
1936,DEER,The common name for 41 species of even-toed ungulates that compose the family Cervidae in the order Artiodactyla; males have antlers.,,Animals,Person/Thing,
1937,THERE,In a not completely determined place which is not here.,,Miscellaneous function words,Other,
1938,FORTRESS,"A fortified place; a large and permanent fortification, sometimes including a town.",,Warfare and hunting,Person/Thing,
1939,SWEAR,To declare or affirm solemnly and formally as true.,,Law,Action/Process,
1940,GUARD,A person who protects or watches over something.,,Warfare and hunting,Person/Thing,
1941,SOLDIER,"A person who is actively engaged in battle, conflict or warfare.",,Warfare and hunting,Person/Thing,
1942,NEAR,Not far distant in time or space or degree or circumstances.,,Spatial relations,Property,
1943,CROWN (OF HEAD),"A royal, imperial or princely headdress; a diadem.",,The body,Person/Thing,
1944,GOD,The deity of a monotheistic religion.,,Religion and belief,Person/Thing,
1945,IDOL,"A representation of a deity, notably a statue or a statuette.",,Religion and belief,Person/Thing,
1946,INITIATION CEREMONY,A formal entry into an organization or position or office.,,Religion and belief,Person/Thing,
1947,BASTARD,A child born of parents not married to each other.,,Kinship,Person/Thing,
1948,SAW,"A tool with a toothed blade used for cutting hard substances, in particular wood or metal.",,Basic actions and technology,Person/Thing,
1949,BEDBUG,"A small blood-sucking insect that lives in houses, especially beds.",,Animals,Person/Thing,
1950,BEECH,"Any tree of the genus Fagus, of temperate regions, having a smooth gray bark and bearing small, edible, triangular nuts.",,Agriculture and vegetation,Person/Thing,
1951,PASS,"Of time, to elapse, to be spent.",,Time,Action/Process,
1952,TORTURE,"To intentionally inflict physical or mental suffering upon a person or an animal in order to punish, to coerce or for sheer cruelty.",,Warfare and hunting,Action/Process,
